week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details,gender
2024-05-12,TV (Non-English),6,The Atypical Family,The Atypical Family: Limited Series,7600000,0.0,2000000.0,1,True,"[{""episodesLaunched"":3,""countryList"":[""VU"",""LA"",""TV"",""NZ"",""NR"",""NP"",""AU"",""TH"",""SG"",""LK"",""TL"",""KR"",""MM"",""MV"",""PG"",""PN"",""ID"",""CC"",""UM"",""PF"",""HK"",""BD"",""MY"",""TK"",""NC"",""MN"",""BT"",""PH"",""CK"",""NU"",""CX"",""TO"",""MO"",""TW"",""WF"",""KH"",""KI"",""IN"",""FJ"",""NF"",""VN"",""WS"",""BN"",""JP"",""SB""]},{""episodesLaunched"":4,""countryList"":[""LV"",""AS"",""BW"",""SM"",""GN"",""SE"",""AW"",""SL"",""LC"",""CW"",""MQ"",""YT"",""PW"",""TM"",""GF"",""IS"",""SX"",""HM"",""FO"",""BM"",""AE"",""SR"",""IR"",""CI"",""GL"",""LS"",""CH"",""MW"",""YE"",""IQ"",""RU"",""FI"",""SZ"",""RS"",""LU"",""IL"",""AF"",""TR"",""JO"",""BA"",""PK"",""ST"",""BH"",""RW"",""MT"",""HU"",""JE"",""GW"",""GE"",""DZ"",""PL"",""NL"",""PT"",""KN"",""ML"",""GB"",""IE"",""SC"",""KZ"",""VG"",""BF"",""DJ"",""CZ"",""BS"",""BB"",""FM"",""QA"",""CD"",""GA"",""HT"",""EG"",""AG"",""ME"",""ZW"",""SH"",""LR"",""AQ"",""GS"",""BJ"",""US"",""MH"",""GR"",""GH"",""TG"",""GU"",""MG"",""IT"",""CG"",""TZ"",""NA"",""PS"",""LY"",""ZM"",""LT"",""ES"",""MU"",""UA"",""DM"",""SS"",""FR"",""TC"",""UG"",""KY"",""OM"",""NG"",""SK"",""AL"",""BL"",""BI"",""CA"",""SI"",""KW"",""MC"",""ER"",""KE"",""AM"",""KG"",""GY"",""EE"",""MF"",""AI"",""DE"",""IM"",""BG"",""DK"",""NE"",""CM"",""TN"",""AD"",""VC"",""MS"",""BE"",""HR"",""FK"",""KM"",""PM"",""MA"",""BQ"",""GM"",""MZ"",""MR"",""AO"",""TT"",""VA"",""AT"",""AZ"",""UZ"",""SN"",""NO"",""CY"",""EH"",""MK"",""GI"",""TJ"",""IO"",""GD"",""BY"",""ZA"",""GG"",""SD"",""MP"",""RO"",""GP"",""ET"",""MD"",""VI"",""RE"",""LI"",""LB"",""TD"",""SO"",""CV"",""JM"",""SA"",""CF""]}]","Action, Drama, Fantasy"
2024-05-12,TV (Non-English),7,Larva in Mars,Larva in Mars: Larva In Mars,1200000,0.9667,1200000.0,1,False,,"Animation, Kids"
2024-05-12,TV (Non-English),8,Super Rich in Korea,Super Rich in Korea: Season 1,3300000,2.9833,1100000.0,1,False,,Reality-TV
2024-05-12,TV (Non-English),9,Jujutsu Kaisen,Jujutsu Kaisen: Season 1,9200000,9.5,1000000.0,1,False,,"Animation, Action, Adventure"
2024-05-12,TV (Non-English),10,Frankly Speaking,Frankly Speaking: Limited Series,3900000,4.1,1000000.0,2,False,,"Short, Comedy"
2024-05-05,Films (English),1,Unfrosted,,11300000,1.6,7100000.0,1,False,,"Biography, Comedy, History"
2024-05-05,Films (English),2,Anyone But You,,11600000,1.7333,6700000.0,2,False,,"Comedy, Romance"
2024-05-05,Films (English),3,Rebel Moon — Part Two: The Scargiver,,12300000,2.0667,6000000.0,3,False,,"Action, Adventure, Drama"
2024-05-05,Films (English),4,Woody Woodpecker Goes to Camp,,9400000,1.6667,5600000.0,4,False,,"Animation, Adventure, Comedy"
2024-05-05,Films (English),5,Hack Your Health: The Secrets of Your Gut,,7200000,1.3333,5400000.0,2,False,,Documentary
2024-05-05,Films (English),6,Secrets of the Neanderthals,,7100000,1.3333,5300000.0,1,False,,Documentary
2024-05-05,Films (English),7,The Judge,,12500000,2.35,5300000.0,1,False,,"Crime, Drama, Mystery"
2024-05-05,Films (English),8,Shrek,,7100000,1.5,4700000.0,8,False,,"Animation, Adventure, Comedy"
2024-05-05,Films (English),9,Smurfs: The Lost Village,,7000000,1.5,4700000.0,2,False,,"Animation, Adventure, Comedy"
2024-05-05,Films (English),10,Barbarian,,7900000,1.7333,4600000.0,1,False,,"Horror, Mystery, Thriller"
2024-05-05,Films (Non-English),1,Honeymoonish,,23400000,1.6667,14000000.0,1,False,,Romance
