semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-05-12,TV (Non-English),1,The Asunta Case,28600000,3,False,"Biography, Crime, Drama",2024,maio
2024-05-12,TV (Non-English),2,Heeramandi: The Diamond Bazaar,29300000,2,False,"Drama, History, Romance",2024,maio
2024-05-12,TV (Non-English),3,"Thank You, Next",21300000,1,False,"Short, Comedy",2024,maio
2024-05-12,TV (Non-English),4,Queen of Tears,58700000,10,False,"Drama, Family, Romance",2024,maio
2024-05-12,TV (Non-English),5,Cooking Up Murder: Uncovering the Story of César Román,5500000,1,False,Documentary,2024,maio
2024-05-12,TV (Non-English),6,The Atypical Family,7600000,1,True,"Action, Drama, Fantasy",2024,maio
2024-05-12,TV (Non-English),7,Larva in Mars,1200000,1,False,"Animation, Kids",2024,maio
2024-05-12,TV (Non-English),8,Super Rich in Korea,3300000,1,False,Reality-TV,2024,maio
2024-05-12,TV (Non-English),9,Jujutsu Kaisen,9200000,1,False,"Animation, Action, Adventure",2024,maio
2024-05-12,TV (Non-English),10,Frankly Speaking,3900000,2,False,"Short, Comedy",2024,maio
2024-05-05,Films (English),1,Unfrosted,11300000,1,False,"Biography, Comedy, History",2024,maio
2024-05-05,Films (English),2,Anyone But You,11600000,2,False,"Comedy, Romance",2024,maio
2024-05-05,Films (English),3,Rebel Moon — Part Two: The Scargiver,12300000,3,False,"Action, Adventure, Drama",2024,maio
2024-05-05,Films (English),4,Woody Woodpecker Goes to Camp,9400000,4,False,"Animation, Adventure, Comedy",2024,maio
2024-05-05,Films (English),5,Hack Your Health: The Secrets of Your Gut,7200000,2,False,Documentary,2024,maio
2024-05-05,Films (English),6,Secrets of the Neanderthals,7100000,1,False,Documentary,2024,maio
2024-05-05,Films (English),7,The Judge,12500000,1,False,"Crime, Drama, Mystery",2024,maio
2024-05-05,Films (English),8,Shrek,7100000,8,False,"Animation, Adventure, Comedy",2024,maio
2024-05-05,Films (English),9,Smurfs: The Lost Village,7000000,2,False,"Animation, Adventure, Comedy",2024,maio
2024-05-05,Films (English),10,Barbarian,7900000,1,False,"Horror, Mystery, Thriller",2024,maio
2024-05-05,Films (Non-English),1,Honeymoonish,23400000,1,False,Romance,2024,maio
2024-05-05,Films (Non-English),2,City Hunter,11000000,2,False,"Action, Comedy, Crime",2024,maio
2024-05-05,Films (Non-English),3,Laapataa Ladies,11600000,2,False,"Comedy, Drama",2024,maio
2024-05-05,Films (Non-English),4,Shaitaan,6900000,1,False,"Horror, Thriller",2024,maio
2024-05-05,Films (Non-English),5,The Tearsmith,3400000,5,False,"Drama, Fantasy, Romance",2024,maio
2024-05-05,Films (Non-English),6,Jujutsu Kaisen 0: The Movie,2500000,1,False,"Animation, Action, Fantasy",2024,maio
2024-05-05,Films (Non-English),7,The Doomsday Cult of Antares de la Luz,2400000,2,False,Documentary,2024,maio
2024-05-05,Films (Non-English),8,"Love, Divided",2200000,4,False,"Comedy, Romance",2024,maio
